allele_name,pipeline_names,similar_names
TRBD1*01, TRBD1*01, 
TRBD2*01, TRBD2*01, 
TRBD2*02, TRBD2*02, 
TRBJ1-1*01, TRBJ1-1*01, 
TRBJ1-2*01, TRBJ1-2*01, 
TRBJ1-3*01, TRBJ1-3*01, 
TRBJ1-4*01, TRBJ1-4*01, 
TRBJ1-5*01, TRBJ1-5*01, 
TRBJ1-6*01, TRBJ1-6*01, 
TRBJ1-6*02, TRBJ1-6*02, 
TRBJ2-1*01, TRBJ2-1*01, 
TRBJ2-2*01, TRBJ2-2*01, 
TRBJ2-2P*01, TRBJ2-2P*01, 
TRBJ2-3*01, TRBJ2-3*01, 
TRBJ2-4*01, TRBJ2-4*01, 
TRBJ2-5*01, TRBJ2-5*01, 
TRBJ2-6*01, TRBJ2-6*01, 
TRBJ2-7*01, TRBJ2-7*01, 
TRBJ2-7*02, TRBJ2-7*02, 
TRBV1*01, TRBV1*bp01, 
TRBV10-1*01, TRBV10-1*01;TRBV10-1*bp01, 
TRBV10-1*02, TRBV10-1*02;TRBV10-1*bp02, 
TRBV10-2*01, TRBV10-2*01;TRBV10-2*bp01, 
TRBV10-2*02, TRBV10-2*02, TRBV10-2*02_03
TRBV10-2*02_03, TRBV10-2*bp02, 
TRBV10-3*01, TRBV10-3*01, 
TRBV10-3*01_02_04, TRBV10-3*bp01, 
TRBV10-3*02, TRBV10-3*02, 
TRBV10-3*03, TRBV10-3*03, 
TRBV11-1*01, TRBV11-1*01;TRBV11-1*bp01, 
TRBV11-1*Del, TRBV11-1*Del, 
TRBV11-2*01, TRBV11-2*01;TRBV11-2*bp01, 
TRBV11-2*03, TRBV11-2*03;TRBV11-2*bp03, 
TRBV11-3*01, TRBV11-3*01, 
TRBV11-3*01_02_04, TRBV11-3*bp01, 
TRBV11-3*04, TRBV11-3*04, 
TRBV12-2*01, TRBV12-2*01, 
TRBV12-3*01, TRBV12-3*01, 
TRBV12-3*01_4.01, TRBV12-34*bp01, 
TRBV12-4*01, TRBV12-4*01, 
TRBV12-5*01, TRBV12-5*01;TRBV12-5*bp01, 
TRBV13*01, TRBV13*01;TRBV13*bp01, 
TRBV14*01, TRBV14*01;TRBV14*bp01, 
TRBV14*02, TRBV14*02;TRBV14*bp02, 
TRBV15*01, TRBV15*bp01, 
TRBV15*02, TRBV15*02;TRBV15*bp02, 
TRBV16*01, TRBV16*01, 
TRBV16*01_02, TRBV16*bp01, 
TRBV18*01, TRBV18*01;TRBV18*bp01, 
TRBV19*01, TRBV19*01;TRBV19*bp01, 
TRBV2*01, TRBV2*01, 
TRBV2*01_02, TRBV2*bp01, 
TRBV2*02, TRBV2*02, 
TRBV20-1*01, TRBV20-1*01, 
TRBV20-1*01_02, TRBV20-1*bp01, 
TRBV20-1*02, TRBV20-1*02, 
TRBV20-1*04_06, TRBV20-1*bp03, 
TRBV20-1*05, TRBV20-1*05;TRBV20-1*bp04, 
TRBV21-1*01, TRBV21-1*bp01, 
TRBV21-1*02, TRBV21-1*bp02, 
