vdjbase_name,airr_file,airr_repertoire_id
P39_I1_S1,P39_syn61987835.json,M124-S014_IGH
P39_I2_S1,P39_syn61987835.json,M111-S037_IGH
P39_I3_S1,P39_syn61987835.json,M111-S033_IGH
P39_I4_S1,P39_syn61987835.json,M111-S038_IGH
P39_I5_S1,P39_syn61987835.json,M111-S055_M124-S070_IGH
P39_I6_S1,P39_syn61987835.json,M124-S042_IGH
P39_I7_S1,P39_syn61987835.json,M124-S041_IGH
P39_I8_S1,P39_syn61987835.json,M124-S012_IGH
P39_I9_S1,P39_syn61987835.json,M111-S042_IGH
P39_I10_S1,P39_syn61987835.json,M111-S016_IGH
P39_I11_S1,P39_syn61987835.json,M111-S043_IGH
P39_I12_S1,P39_syn61987835.json,M111-S018_IGH
P39_I13_S1,P39_syn61987835.json,M111-S034_IGH
P39_I14_S1,P39_syn61987835.json,M124-S037_IGH
P39_I15_S1,P39_syn61987835.json,M124-S036_IGH
P39_I16_S1,P39_syn61987835.json,M124-S035_IGH
P39_I17_S1,P39_syn61987835.json,M111-S040_IGH
P39_I18_S1,P39_syn61987835.json,M111-S041_IGH
P39_I19_S1,P39_syn61987835.json,M124-S038_IGH
P39_I20_S1,P39_syn61987835.json,M124-S039_IGH
P39_I21_S1,P39_syn61987835.json,M124-S040_IGH
P39_I22_S1,P39_syn61987835.json,M111-S035_IGH
P39_I23_S1,P39_syn61987835.json,M111-S025_IGH
P39_I24_S1,P39_syn61987835.json,M111-S011_IGH
P39_I25_S1,P39_syn61987835.json,M111-S036_IGH
P39_I26_S1,P39_syn61987835.json,M111-S039_IGH
P39_I27_S1,P39_syn61987835.json,M64-002_IGH
P39_I28_S1,P39_syn61987835.json,M64-003_IGH
P39_I29_S1,P39_syn61987835.json,M64-004_IGH
P39_I30_S1,P39_syn61987835.json,M64-005_IGH
P39_I31_S1,P39_syn61987835.json,M64-006_IGH
P39_I32_S1,P39_syn61987835.json,M64-008_IGH
P39_I33_S1,P39_syn61987835.json,M64-009_IGH
P39_I34_S1,P39_syn61987835.json,M64-010_IGH
P39_I35_S1,P39_syn61987835.json,M64-012_IGH
P39_I36_S1,P39_syn61987835.json,M64-013_IGH
P39_I37_S1,P39_syn61987835.json,M64-014_IGH
P39_I38_S1,P39_syn61987835.json,M64-016_IGH
P39_I39_S1,P39_syn61987835.json,M64-017_IGH
P39_I40_S1,P39_syn61987835.json,M64-018_IGH
P39_I41_S1,P39_syn61987835.json,M64-019_IGH
P39_I42_S1,P39_syn61987835.json,M64-021_IGH
P39_I43_S1,P39_syn61987835.json,M64-022_IGH
P39_I44_S1,P39_syn61987835.json,M64-026_IGH
P39_I45_S1,P39_syn61987835.json,M64-027_IGH
P39_I46_S1,P39_syn61987835.json,M64-028_IGH
P39_I47_S1,P39_syn61987835.json,M64-029_IGH
P39_I48_S1,P39_syn61987835.json,M64-030_IGH
P39_I49_S1,P39_syn61987835.json,M64-031_IGH
P39_I50_S1,P39_syn61987835.json,M64-032_IGH
P39_I51_S1,P39_syn61987835.json,M64-033_IGH
P39_I52_S1,P39_syn61987835.json,M64-034_IGH
P39_I53_S1,P39_syn61987835.json,M64-035_IGH
P39_I54_S1,P39_syn61987835.json,M64-036_IGH
P39_I55_S1,P39_syn61987835.json,M64-037_IGH
P39_I56_S1,P39_syn61987835.json,M64-038_IGH
P39_I57_S1,P39_syn61987835.json,M64-039_IGH
P39_I58_S1,P39_syn61987835.json,M64-040_IGH
P39_I59_S1,P39_syn61987835.json,M64-041_IGH
P39_I60_S1,P39_syn61987835.json,M64-042_IGH
P39_I61_S1,P39_syn61987835.json,M64-043_IGH
P39_I62_S1,P39_syn61987835.json,M64-044_IGH
P39_I63_S1,P39_syn61987835.json,M64-046_IGH
