study_id,study_title,study_description,accession_reference,study_type,inclusion_exclusion_criteria,grants,collected_by,lab_name,lab_address,study_contact,submitted_by,pub_ids,keywords_study,subject_id,synthetic,species,sex,age_min,age_max,age_unit,age_event,ancestry_population,ethnicity,race,strain_name,linked_subjects,link_type,study_group_description,disease_diagnosis,disease_length,disease_stage,prior_therapies,immunogen,intervention,medical_history,sample_id,sample_type,tissue,anatomic_site,disease_state_sample,collection_time_point_relative,collection_time_point_relative_unit,collection_time_point_reference,biomaterial_provider,tissue_processing,cell_subset,cell_phenotype,cell_species,single_cell,cell_number,cells_per_reaction,cell_storage,cell_quality,cell_isolation,cell_processing_protocol,template_class,template_quality,template_amount,template_amount_unit,library_generation_method,library_generation_protocol,library_generation_kit_version,complete_sequences,physical_linkage,pcr_target_locus,forward_pcr_primer_target_location,reverse_pcr_primer_target_location,sequencing_run_id,total_reads_passing_qc_filter,sequencing_platform,sequencing_facility,sequencing_run_date,sequencing_kit,sequencing_data_id,primary_annotation,file_type,filename,read_direction,read_length,paired_filename,paired_read_direction,paired_read_length,software_versions,paired_reads_assembly,quality_thresholds,primer_match_cutoffs,collapsing_method,data_processing_protocols,germline_database,data_processing_files,analysis_provenance_id,reference_assembly
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG01887,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG01887,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,ACB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG01887,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG02011,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG02011,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,ACB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG02011,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG03196,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG03196,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,ESN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG03196,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG03515,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG03515,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,ESN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG03515,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG02717,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG02717,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,GWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG02717,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG02885,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG02885,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,GWD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG02885,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,NA19390,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",NA19390,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,LWK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA19390,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,NA19467,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",NA19467,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,LWK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA19467,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG03376,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG03376,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,MSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG03376,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
PRJNA555323,The human immunoglobulin heavy chain constant gene locus is enriched for large complex structural variants and coding polymorphisms that vary in frequency among human populations,Long-read sequencing to resolve IGHC haplotype variations in different populations,HG03451,"{""id"": ""NCIT: C16084"", ""label"": ""Observational Study""} ",NA,"NIH R24AI138963,R01HG010169",UofL (Watson lab),Watson,"580S Preston St,Louisville,KY 40202",corey.watson@louisville.edu,Uddalok Jana,PMIDXXXXXXXX,"[""immune receptor genome""]",HG03451,FALSE,"{""id"": ""NCBITAXON: 9606"", ""label"": ""Homo sapiens""} ",NA,NA,NA,NA,NA,AFR,MSL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HG03451,LCL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IG-Capture,amplification and capture by hybridization of genomic dna to enrich nucleic acid sequences from IG genomic loci,NA,NA,NA,IGHC,NA,NA,NA,NA,SEQUELII,University of Louisville Sequencing Technology Center,NA,NA,NA,TRUE,BAM,NA,NA,NA,NA,NA,NA,"Igenotyper V1.X (unreleased), hifiasm V0.19.3, minimap2 v2.26 ",NA,NA,NA,manual,Data was processed using the Igenotyper pipeline (https://github.com/oscarlr/IGenotyper),IMGT:Homo sapiens:2022-11-24,NA,NA,ighc
